DATA_INICIO,DATA_FIM,CATEGORIA,LOCAL_INICIO,LOCAL_FIM,DISTANCIA,PROPOSITO,DT_REFE
2016-01-21 14:25:00,01-21-2016 14:29,Negocio,Cary,Cary,16,Entregas,2016-01-21
2016-01-21 14:43:00,01-21-2016 14:51,Negocio,Cary,Cary,24,Alimentação,2016-01-21
2016-01-21 16:01:00,01-21-2016 16:06,Negocio,Cary,Cary,1,Alimentação,2016-01-21
2016-01-26 10:41:00,01-26-2016 10:50,Negocio,Whitebridge,Hazelwood,2,Alimentação,2016-01-26
2016-01-26 12:33:00,01-26-2016 12:41,Negocio,Hazelwood,Whitebridge,23,Entregas,2016-01-26
2016-01-26 16:24:00,01-26-2016 16:32,Negocio,Whitebridge,Westpark Place,19,Entregas,2016-01-26
2016-01-26 17:17:00,01-26-2016 17:22,Negocio,Cary,Cary,14,Entregas,2016-01-26
2016-01-26 17:27:00,01-26-2016 17:29,Negocio,Cary,Cary,5,Entregas,2016-01-26
2016-01-27 09:24:00,01-27-2016 9:31,Negocio,Cary,Cary,18,Reunião,2016-01-27
2016-01-27 10:19:00,01-27-2016 10:48,Negocio,Cary,Raleigh,187,Visita Ao Cliente,2016-01-27
2016-01-27 12:34:00,01-27-2016 12:44,Negocio,Fairmont,Meredith Townes,34,Visita Ao Cliente,2016-01-27
2016-01-27 14:05:00,01-27-2016 14:13,Negocio,Raleigh,Raleigh,27,Visita Ao Cliente,2016-01-27
2016-01-27 14:46:00,01-27-2016 15:08,Negocio,Raleigh,Cary,129,Visita Ao Cliente,2016-01-27
2016-01-28 12:28:00,01-28-2016 13:00,Negocio,Cary,Raleigh,19,Parada Temporária,2016-01-28
2016-01-28 15:11:00,01-28-2016 15:31,Negocio,Meredith Townes,Leesville Hollow,147,Reunião,2016-01-28
2016-01-28 16:21:00,01-28-2016 16:51,Negocio,Raleigh,Cary,157,Reunião,2016-01-28
2016-01-29 09:31:00,01-29-2016 9:45,Negocio,Cary,Cary,46,Visita Ao Cliente,2016-01-29
2016-01-29 10:56:00,01-29-2016 11:07,Negocio,Cary,Cary,52,Reunião,2016-01-29
2016-01-29 11:43:00,01-29-2016 12:03,Negocio,Cary,Durham,104,Reunião,2016-01-29
2016-01-29 13:24:00,01-29-2016 13:47,Negocio,Durham,Cary,101,Reunião,2016-01-29
2016-01-29 18:31:00,01-29-2016 18:52,Negocio,Cary,Apex,58,Entregas,2016-01-29
2016-01-29 21:21:00,01-29-2016 21:40,Negocio,Apex,Cary,55,Alimentação,2016-01-29
2016-01-30 16:21:00,01-30-2016 16:33,Negocio,Cary,Apex,57,Entregas,2016-01-30
2016-01-30 18:09:00,01-30-2016 18:24,Negocio,Apex,Cary,57,Visita Ao Cliente,2016-01-30
2016-02-01 10:35:00,02-01-2016 11:15,Negocio,Cary,Chapel Hill,194,Visita Ao Cliente,2016-02-01
2016-02-01 12:10:00,02-01-2016 12:43,Negocio,Chapel Hill,Cary,233,Visita Ao Cliente,2016-02-01
2016-02-01 12:56:00,02-01-2016 13:07,Negocio,Northwoods,Whitebridge,39,Alimentação,2016-02-01
2016-02-02 13:04:00,02-02-2016 13:23,Negocio,Whitebridge,Williamsburg Manor,83,Reunião,2016-02-02
2016-02-02 13:51:00,02-02-2016 14:06,Negocio,Cary,Cary,6,Entregas,2016-02-02
2016-02-02 14:38:00,02-02-2016 14:42,Negocio,Cary,Cary,16,Entregas,2016-02-02
2016-02-04 08:40:00,02-04-2016 09:01,Negocio,Cary,Morrisville,52,Entregas,2016-02-04
2016-02-04 09:37:00,02-04-2016 10:09,Negocio,Morrisville,Cary,97,Alimentação,2016-02-04
2016-02-04 10:26:00,02-04-2016 10:32,Negocio,Cary,Cary,16,Alimentação,2016-02-04
2016-02-04 15:59:00,02-04-2016 16:03,Negocio,Cary,Cary,11,Alimentação,2016-02-04
2016-02-04 16:35:00,02-04-2016 16:39,Negocio,Cary,Cary,16,Alimentação,2016-02-04
2016-02-04 18:04:00,02-04-2016 18:31,Negocio,Whitebridge,Macgregor Downs,9,Reunião,2016-02-04
2016-02-04 20:36:00,02-04-2016 20:55,Negocio,Cary,Cary,77,Reunião,2016-02-04
2016-02-05 11:47:00,02-05-2016 12:07,Negocio,Cary,Durham,104,Reunião,2016-02-05
2016-02-05 13:22:00,02-05-2016 13:41,Negocio,Durham,Cary,104,Reunião,2016-02-05
2016-02-06 16:20:00,02-06-2016 16:53,Negocio,Cary,Raleigh,114,Entre Escritórios,2016-02-06
2016-02-06 18:57:00,02-06-2016 19:21,Negocio,Raleigh,Cary,9,Entregas,2016-02-06
2016-02-06 19:28:00,02-06-2016 19:37,Negocio,Edgehill Farms,Whitebridge,32,Alimentação,2016-02-06
2016-02-07 16:49:00,02-07-2016 17:01,Negocio,Cary,Apex,56,Entregas,2016-02-07
2016-02-07 18:03:00,02-07-2016 18:17,Negocio,Apex,Cary,57,Visita Ao Cliente,2016-02-07
2016-02-07 18:39:00,02-07-2016 18:53,Negocio,Cary,Morrisville,61,Parada Temporária,2016-02-07
2016-02-07 20:22:00,02-07-2016 20:40,Negocio,Morrisville,Cary,61,Reunião,2016-02-07
2016-02-08 12:57:00,02-08-2016 13:08,Negocio,Whitebridge,Edgehill Farms,43,Alimentação,2016-02-08
2016-02-08 14:00:00,02-08-2016 14:10,Negocio,Edgehill Farms,Whitebridge,27,Alimentação,2016-02-08
2016-02-09 10:54:00,02-09-2016 11:07,Pessoal,Whitebridge,Northwoods,53,Indefinido,2016-02-09
2016-02-09 11:43:00,02-09-2016 11:50,Pessoal,Northwoods,Tanglewood,3,Indefinido,2016-02-09
2016-02-09 13:36:00,02-09-2016 13:52,Pessoal,Tanglewood,Preston,51,Indefinido,2016-02-09
2016-02-09 13:58:00,02-09-2016 14:02,Pessoal,Preston,Whitebridge,15,Indefinido,2016-02-09
2016-02-09 18:55:00,02-09-2016 19:11,Negocio,Cary,Morrisville,61,Indefinido,2016-02-09
2016-02-09 20:24:00,02-09-2016 20:40,Negocio,Morrisville,Cary,61,Alimentação,2016-02-09
2016-02-11 16:28:00,02-11-2016 17:10,Negocio,Cary,Raleigh,173,Alimentação,2016-02-11
2016-02-11 17:49:00,02-11-2016 18:10,Negocio,Eastgate,Walnut Terrace,57,Alimentação,2016-02-11
2016-02-11 18:24:00,02-11-2016 18:46,Negocio,Raleigh,Morrisville,135,Parada Temporária,2016-02-11
2016-02-11 20:36:00,02-11-2016 20:51,Negocio,Morrisville,Cary,61,Parada Temporária,2016-02-11
2016-02-12 08:21:00,02-12-2016 08:42,Negocio,Cary,Durham,85,Parada Temporária,2016-02-12
2016-02-12 10:45:00,02-12-2016 10:52,Negocio,Durham,Morrisville,26,Parada Temporária,2016-02-12
2016-02-12 11:14:00,02-12-2016 11:35,Negocio,Morrisville,Raleigh,17,Visita Ao Cliente,2016-02-12
2016-02-12 13:02:00,02-12-2016 13:36,Negocio,Raleigh,Cary,18,Reunião,2016-02-12
2016-02-12 14:49:00,02-12-2016 15:06,Negocio,Cary,Morrisville,84,Reunião,2016-02-12
2016-02-12 15:33:00,02-12-2016 16:06,Negocio,Morrisville,Cary,115,Visita Ao Cliente,2016-02-12
2016-02-13 14:21:00,02-13-2016 14:41,Negocio,Cary,Morrisville,89,Reunião,2016-02-13
2016-02-13 23:45:00,02-13-2016 0:01,Pessoal,East Elmhurst,Jackson Heights,27,Indefinido,2016-02-13
2016-02-13 00:50:00,02-13-2016 1:00,Pessoal,Jackson Heights,East Elmhurst,18,Indefinido,2016-02-13
2016-02-13 14:07:00,02-13-2016 14:40,Negocio,East Elmhurst,New York,81,Reunião,2016-02-13
2016-02-13 14:46:00,02-13-2016 15:03,Negocio,Midtown,Midtown West,2,Reunião,2016-02-13
2016-02-13 16:35:00,02-13-2016 17:02,Negocio,New York,Long Island City,13,Reunião,2016-02-13
2016-02-13 17:06:00,02-13-2016 17:29,Negocio,Long Island City,Jamaica,139,Reunião,2016-02-13
2016-02-16 03:21:00,02-16-2016 4:13,Negocio,Katunayaka,Unknown Location,437,Visita Ao Cliente,2016-02-16
2016-02-16 08:29:00,02-16-2016 9:34,Negocio,Unknown Location,Colombo,141,Indefinido,2016-02-16
2016-02-16 10:31:00,02-16-2016 10:41,Negocio,Colombo,Colombo,26,Indefinido,2016-02-16
2016-02-16 11:32:00,02-16-2016 12:02,Negocio,Colombo,Colombo,45,Indefinido,2016-02-16
2016-02-16 12:39:00,02-16-2016 12:42,Negocio,Colombo,Colombo,17,Indefinido,2016-02-16
2016-02-16 13:43:00,02-16-2016 13:55,Negocio,Colombo,Colombo,18,Parada Temporária,2016-02-16
2016-02-16 16:34:00,02-16-2016 17:10,Negocio,Colombo,Colombo,6,Indefinido,2016-02-16
2016-02-16 17:17:00,02-16-2016 17:26,Negocio,Colombo,Nugegoda,11,Alimentação,2016-02-16
2016-02-16 17:40:00,02-16-2016 17:44,Negocio,Nugegoda,Unknown Location,36,Entregas,2016-02-16
2016-02-17 13:18:00,02-17-2016 14:04,Negocio,Unknown Location,Colombo,147,Parada Temporária,2016-02-17
2016-02-17 15:17:00,02-17-2016 15:22,Negocio,Colombo,Colombo,17,Alimentação,2016-02-17
2016-02-17 15:33:00,02-17-2016 16:17,Negocio,Colombo,Katunayaka,214,Parada Temporária,2016-02-17
2016-02-17 16:38:00,02-17-2016 16:43,Negocio,Katunayaka,Katunayaka,5,Entregas,2016-02-17
2016-02-18 08:19:00,02-18-2016 8:27,Negocio,Unknown Location,Unknown Location,235,Parada Temporária,2016-02-18
2016-02-18 14:03:00,02-18-2016 14:45,Negocio,Unknown Location,Islamabad,127,Parada Temporária,2016-02-18
2016-02-18 15:16:00,02-18-2016 15:31,Negocio,Islamabad,Unknown Location,6,Parada Temporária,2016-02-18
2016-02-18 18:44:00,02-18-2016 18:58,Negocio,Unknown Location,Islamabad,52,Visita Ao Cliente,2016-02-18
2016-02-18 19:27:00,02-18-2016 20:08,Negocio,Islamabad,Unknown Location,10,Reunião,2016-02-18
2016-02-19 09:02:00,02-19-2016 9:14,Negocio,Unknown Location,Unknown Location,183,Reunião,2016-02-19
2016-02-19 09:21:00,02-19-2016 9:51,Negocio,Unknown Location,Unknown Location,112,Reunião,2016-02-19
2016-02-19 10:21:00,02-19-2016 10:48,Negocio,Unknown Location,Islamabad,76,Reunião,2016-02-19
2016-02-19 11:20:00,02-19-2016 11:26,Pessoal,Islamabad,Islamabad,15,Indefinido,2016-02-19
2016-02-19 11:45:00,02-19-2016 11:50,Pessoal,Islamabad,Islamabad,1,Indefinido,2016-02-19
2016-02-19 12:09:00,02-19-2016 12:27,Negocio,Islamabad,Unknown Location,73,Parada Temporária,2016-02-19
2016-02-19 16:26:00,02-19-2016 16:45,Negocio,Unknown Location,Islamabad,35,Indefinido,2016-02-19
2016-02-19 17:09:00,02-19-2016 17:20,Negocio,Islamabad,Islamabad,42,Indefinido,2016-02-19
2016-02-19 20:08:00,02-19-2016 20:30,Pessoal,Islamabad,Unknown Location,136,Indefinido,2016-02-19
2016-02-19 20:34:00,02-19-2016 20:51,Pessoal,Unknown Location,Unknown Location,25,Indefinido,2016-02-19
2016-02-20 07:59:00,02-20-2016 8:32,Pessoal,Unknown Location,Islamabad,144,Indefinido,2016-02-20
2016-02-20 10:48:00,02-20-2016 10:56,Pessoal,Islamabad,Islamabad,3,Indefinido,2016-02-20
2016-02-20 11:45:00,02-20-2016 11:53,Pessoal,Islamabad,Islamabad,15,Indefinido,2016-02-20
2016-02-20 12:41:00,02-20-2016 13:17,Negocio,Islamabad,R?walpindi,184,Indefinido,2016-02-20
2016-02-20 14:50:00,02-20-2016 15:54,Negocio,R?walpindi,R?walpindi,231,Reunião,2016-02-20
2016-02-20 16:59:00,02-20-2016 17:54,Pessoal,R?walpindi,Unknown Location,165,Indefinido,2016-02-20
2016-02-20 18:00:00,02-20-2016 18:03,Negocio,Unknown Location,Unknown Location,32,Entregas,2016-02-20
2016-02-20 19:28:00,02-20-2016 19:49,Negocio,Unknown Location,Unknown Location,77,Entregas,2016-02-20
2016-02-21 09:07:00,02-21-2016 9:46,Negocio,Unknown Location,Islamabad,145,Indefinido,2016-02-21
2016-02-21 11:39:00,02-21-2016 11:43,Negocio,Unknown Location,Islamabad,24,Entregas,2016-02-21
2016-02-21 11:47:00,02-21-2016 12:01,Negocio,Islamabad,Islamabad,46,Entregas,2016-02-21
2016-02-21 12:13:00,02-21-2016 12:35,Negocio,Islamabad,Unknown Location,88,Alimentação,2016-02-21
2016-02-21 12:51:00,02-21-2016 13:12,Negocio,Unknown Location,Unknown Location,83,Parada Temporária,2016-02-21
2016-02-21 13:33:00,02-21-2016 14:30,Negocio,Unknown Location,Unknown Location,227,Parada Temporária,2016-02-21
2016-02-21 14:36:00,02-21-2016 15:03,Negocio,Unknown Location,Islamabad,13,Parada Temporária,2016-02-21
2016-02-21 15:14:00,02-21-2016 15:31,Negocio,Islamabad,Noorpur Shahan,81,Parada Temporária,2016-02-21
2016-02-21 15:36:00,02-21-2016 15:41,Negocio,Noorpur Shahan,Unknown Location,22,Alimentação,2016-02-21
2016-02-21 16:04:00,02-21-2016 16:32,Negocio,Unknown Location,Unknown Location,97,Indefinido,2016-02-21
2016-02-21 23:15:00,02-21-2016 23:52,Negocio,Unknown Location,R?walpindi,20,Reunião,2016-02-21
2016-02-22 21:54:00,02-22-2016 22:09,Negocio,Morrisville,Cary,81,Visita Ao Cliente,2016-02-22
2016-02-24 14:30:00,02-24-2016 14:35,Negocio,Whitebridge,Preston,15,Indefinido,2016-02-24
2016-02-24 15:19:00,02-24-2016 15:25,Negocio,Preston,Whitebridge,17,Entregas,2016-02-24
2016-02-25 16:27:00,02-25-2016 16:35,Negocio,Whitebridge,Heritage Pines,31,Entregas,2016-02-25
2016-02-25 16:47:00,02-25-2016 17:02,Negocio,Heritage Pines,Whitebridge,32,Entregas,2016-02-25
2016-02-25 17:16:00,02-25-2016 17:36,Negocio,Whitebridge,Tanglewood,6,Alimentação,2016-02-25
2016-02-25 18:22:00,02-25-2016 18:39,Negocio,Tanglewood,Whitebridge,58,Alimentação,2016-02-25
2016-02-26 09:06:00,02-26-2016 9:29,Negocio,Whitebridge,Westpark Place,63,Indefinido,2016-02-26
2016-02-26 11:05:00,02-26-2016 11:11,Pessoal,Westpark Place,Whitebridge,17,Indefinido,2016-02-26
2016-02-26 11:35:00,02-26-2016 11:59,Negocio,Cary,Durham,106,Reunião,2016-02-26
2016-02-26 13:01:00,02-26-2016 13:24,Negocio,Durham,Cary,99,Reunião,2016-02-26
2016-02-26 14:38:00,02-26-2016 14:46,Pessoal,Whitebridge,Westpark Place,19,Indefinido,2016-02-26
2016-02-26 15:00:00,02-26-2016 15:18,Pessoal,Westpark Place,Hazelwood,42,Indefinido,2016-02-26
2016-02-26 17:01:00,02-26-2016 17:12,Pessoal,Hazelwood,Whitebridge,2,Indefinido,2016-02-26
2016-02-28 05:22:00,02-28-2016 5:38,Negocio,Whitebridge,Waverly Place,77,Reunião,2016-02-28
2016-02-28 09:26:00,02-28-2016 9:42,Negocio,Waverly Place,Whitebridge,68,Reunião,2016-02-28
2016-02-29 11:07:00,02-29-2016 11:14,Pessoal,Whitebridge,Westpark Place,21,Indefinido,2016-02-29
2016-02-29 11:30:00,02-29-2016 11:40,Negocio,Cary,Apex,38,Reunião,2016-02-29
2016-02-29 12:36:00,02-29-2016 12:48,Negocio,Apex,Cary,56,Reunião,2016-02-29
2016-02-29 14:55:00,02-29-2016 15:03,Negocio,Whitebridge,Hazelwood,26,Indefinido,2016-02-29
2016-02-29 16:40:00,02-29-2016 17:00,Negocio,Hazelwood,Whitebridge,66,Visita Ao Cliente,2016-02-29
2016-03-01 18:47:00,03-01-2016 19:10,Negocio,Whitebridge,Wayne Ridge,8,Alimentação,2016-03-01
2016-03-01 21:27:00,03-01-2016 21:45,Negocio,Wayne Ridge,Whitebridge,8,Reunião,2016-03-01
2016-03-03 09:45:00,03-03-2016 09:52,Pessoal,Whitebridge,Westpark Place,22,Indefinido,2016-03-03
2016-03-03 11:04:00,03-03-2016 11:10,Negocio,Westpark Place,Whitebridge,23,Entregas,2016-03-03
2016-03-03 14:44:00,03-03-2016 14:58,Negocio,Whitebridge,Northwoods,52,Alimentação,2016-03-03
2016-03-03 15:27:00,03-03-2016 15:48,Negocio,Cary,Raleigh,76,Visita Ao Cliente,2016-03-03
2016-03-03 16:02:00,03-03-2016 16:42,Negocio,Raleigh,Cary,173,Reunião,2016-03-03
2016-03-04 07:47:00,03-04-2016 08:06,Negocio,Cary,Durham,99,Reunião,2016-03-04
2016-03-04 09:46:00,03-04-2016 10:03,Negocio,Durham,Cary,99,Visita Ao Cliente,2016-03-04
2016-03-04 11:46:00,03-04-2016 12:06,Negocio,Cary,Durham,104,Reunião,2016-03-04
2016-03-04 13:03:00,03-04-2016 13:25,Negocio,Durham,Cary,109,Reunião,2016-03-04
2016-03-04 13:40:00,03-04-2016 14:09,Negocio,Cary,Raleigh,157,Visita Ao Cliente,2016-03-04
2016-03-04 15:56:00,03-04-2016 16:08,Negocio,Raleigh,Raleigh,49,Alimentação,2016-03-04
2016-03-04 16:16:00,03-04-2016 16:22,Negocio,Fayetteville Street,Depot Historic District,8,Entregas,2016-03-04
2016-03-04 16:43:00,03-04-2016 17:12,Negocio,Raleigh,Cary,135,Reunião,2016-03-04
2016-03-04 19:02:00,03-04-2016 19:08,Negocio,Cary,Morrisville,19,Parada Temporária,2016-03-04
2016-03-04 19:16:00,03-04-2016 19:25,Negocio,Morrisville,Cary,2,Alimentação,2016-03-04
2016-03-05 11:44:00,03-05-2016 11:59,Negocio,Cary,Morrisville,65,Alimentação,2016-03-05
2016-03-05 12:57:00,03-05-2016 13:12,Pessoal,Weston,Weston,42,Indefinido,2016-03-05
2016-03-05 14:08:00,03-05-2016 14:18,Pessoal,Morrisville,Cary,35,Indefinido,2016-03-05
2016-03-05 14:39:00,03-05-2016 15:01,Negocio,Whitebridge,Wayne Ridge,78,Alimentação,2016-03-05
2016-03-05 16:52:00,03-05-2016 17:13,Negocio,Cary,Morrisville,78,Alimentação,2016-03-05
2016-03-05 17:23:00,03-05-2016 17:34,Negocio,Morrisville,Cary,39,Alimentação,2016-03-05
2016-03-07 09:10:00,03-07-2016 09:20,Negocio,Whitebridge,Edgehill Farms,28,Entregas,2016-03-07
2016-03-07 09:23:00,03-07-2016 09:47,Negocio,Cary,Raleigh,124,Visita Ao Cliente,2016-03-07
2016-03-07 12:10:00,03-07-2016 12:26,Negocio,Fayetteville Street,Meredith Townes,59,Visita Ao Cliente,2016-03-07
2016-03-07 13:57:00,03-07-2016 14:18,Negocio,Meredith Townes,Leesville Hollow,94,Reunião,2016-03-07
2016-03-07 15:19:00,03-07-2016 15:45,Negocio,Raleigh,Cary,119,Entre Escritórios,2016-03-07
2016-03-08 14:38:00,03-08-2016 14:55,Negocio,Whitebridge,Waverly Place,72,Entre Escritórios,2016-03-08
2016-03-08 15:35:00,03-08-2016 16:00,Negocio,Waverly Place,Whitebridge,76,Alimentação,2016-03-08
2016-03-08 16:13:00,03-08-2016 16:25,Pessoal,Whitebridge,Whitebridge,16,Indefinido,2016-03-08
2016-03-10 03:36:00,03-10-2016 03:53,Negocio,Cary,Morrisville,84,Reunião,2016-03-10
2016-03-10 10:08:00,03-10-2016 10:37,Negocio,East Austin,West University,128,Reunião,2016-03-10
2016-03-10 14:39:00,03-10-2016 14:55,Negocio,West University,South Congress,23,Indefinido,2016-03-10
2016-03-10 16:18:00,03-10-2016 16:28,Negocio,South Congress,Arts District,16,Indefinido,2016-03-10
2016-03-11 09:47:00,03-11-2016 09:59,Negocio,The Drag,Congress Ave District,2,Alimentação,2016-03-11
2016-03-11 10:29:00,03-11-2016 10:36,Negocio,Congress Ave District,Downtown,8,Indefinido,2016-03-11
2016-03-11 11:57:00,03-11-2016 12:04,Negocio,Downtown,Red River District,12,Indefinido,2016-03-11
2016-03-11 13:43:00,03-11-2016 13:51,Negocio,Red River District,Downtown,1,Indefinido,2016-03-11
2016-03-11 19:21:00,03-11-2016 19:35,Negocio,South Congress,The Drag,21,Indefinido,2016-03-11
2016-03-12 09:13:00,03-12-2016 09:22,Negocio,The Drag,South Congress,22,Indefinido,2016-03-12
2016-03-12 18:27:00,03-12-2016 18:37,Pessoal,South Congress,The Drag,19,Indefinido,2016-03-12
2016-03-13 09:07:00,03-13-2016 9:37,Negocio,The Drag,Convention Center District,57,Alimentação,2016-03-13
2016-03-13 18:23:00,03-13-2016 18:43,Negocio,South Congress,North Austin,84,Alimentação,2016-03-13
2016-03-13 20:07:00,03-13-2016 20:28,Negocio,Georgian Acres,The Drag,62,Alimentação,2016-03-13
2016-03-13 20:39:00,03-13-2016 20:58,Negocio,The Drag,North Austin,105,Alimentação,2016-03-13
2016-03-13 21:11:00,03-13-2016 21:23,Negocio,North Austin,Coxville,72,Alimentação,2016-03-13
2016-03-13 22:19:00,03-13-2016 22:39,Negocio,Coxville,The Drag,125,Indefinido,2016-03-13
2016-03-14 08:34:00,03-14-2016 8:49,Negocio,The Drag,South Congress,2,Entregas,2016-03-14
2016-03-14 18:39:00,03-14-2016 18:55,Negocio,South Congress,The Drag,27,Indefinido,2016-03-14
2016-03-15 08:45:00,03-15-2016 8:57,Negocio,The Drag,Convention Center District,2,Alimentação,2016-03-15
2016-03-15 20:48:00,03-15-2016 21:01,Negocio,Downtown,The Drag,28,Alimentação,2016-03-15
2016-03-16 11:34:00,03-16-2016 11:45,Negocio,The Drag,Congress Ave District,17,Alimentação,2016-03-16
2016-03-16 14:44:00,03-16-2016 14:55,Negocio,Convention Center District,West University,2,Indefinido,2016-03-16
2016-03-16 18:43:00,03-16-2016 18:56,Negocio,West University,Congress Ave District,21,Alimentação,2016-03-16
2016-03-17 00:33:00,03-17-2016 0:44,Pessoal,Downtown,The Drag,17,Indefinido,2016-03-17
2016-03-17 12:52:00,03-17-2016 15:11,Negocio,Austin,Katy,136,Visita Ao Cliente,2016-03-17
2016-03-17 15:16:00,03-17-2016 15:58,Negocio,Katy,Houston,302,Reunião,2016-03-17
2016-03-17 17:20:00,03-17-2016 18:02,Negocio,Midtown,Alief,155,Alimentação,2016-03-17
2016-03-17 18:47:00,03-17-2016 19:09,Pessoal,Houston,Houston,49,Indefinido,2016-03-17
2016-03-17 20:57:00,03-17-2016 21:28,Pessoal,Houston,Houston,126,Indefinido,2016-03-17
2016-03-17 21:48:00,03-17-2016 22:04,Pessoal,Sharpstown,Midtown,104,Indefinido,2016-03-17
2016-03-18 07:15:00,03-18-2016 7:21,Negocio,Midtown,Midtown,11,Alimentação,2016-03-18
2016-03-18 08:35:00,03-18-2016 8:43,Negocio,Midtown,Midtown,11,Alimentação,2016-03-18
2016-03-18 18:24:00,03-18-2016 19:08,Negocio,Midtown,Sharpstown,132,Reunião,2016-03-18
2016-03-18 19:23:00,03-18-2016 19:29,Negocio,Sharpstown,Sharpstown,1,Entregas,2016-03-18
2016-03-18 21:01:00,03-18-2016 21:15,Negocio,Sharpstown,Midtown,92,Visita Ao Cliente,2016-03-18
2016-03-19 09:10:00,03-19-2016 9:25,Negocio,Midtown,Sharpstown,94,Alimentação,2016-03-19
2016-03-19 12:50:00,03-19-2016 13:13,Negocio,Houston,Sugar Land,12,Visita Ao Cliente,2016-03-19
2016-03-19 14:01:00,03-19-2016 14:57,Negocio,Sugar Land,Houston,351,Visita Ao Cliente,2016-03-19
2016-03-19 15:34:00,03-19-2016 16:38,Negocio,Houston,Galveston,365,Alimentação,2016-03-19
2016-03-19 17:17:00,03-19-2016 17:32,Negocio,Galveston,Port Bolivar,31,Alimentação,2016-03-19
